,match
1160,NA1_3912208040
1161,NA1_3912207991
1162,NA1_3912207939
1163,NA1_3912207901
1164,NA1_3912207849
1165,NA1_3912207834
1166,NA1_3912207803
1167,NA1_3912207735
1168,NA1_3912207720
1169,NA1_3912207686
1170,NA1_3912207595
1171,NA1_3909957276
1172,NA1_3909957243
1173,NA1_3909957198
1174,NA1_3909957172
1175,NA1_3909957109
1176,NA1_3909957075
1177,NA1_3909957043
1178,NA1_3909956990
1179,NA1_3909956934
1180,NA1_3909956872
1181,NA1_3909956828
1182,NA1_3909956809
1183,NA1_3909956791
1184,NA1_3909956767
1185,NA1_3903008856
1186,NA1_3903003648
1187,NA1_3902910007
1188,NA1_3902833863
1189,NA1_3902796314
1190,NA1_3902619385
1191,NA1_3902595585
1192,NA1_3902145914
1193,NA1_3902121106
1194,NA1_3901756646
1195,NA1_3901769983
1196,NA1_3901682359
1197,NA1_3901671349
1198,NA1_3901586705
1199,NA1_3898879590
1200,NA1_3900800672
1201,NA1_3900609190
1202,NA1_3900623470
1203,NA1_3898877714
1204,NA1_3898877312
1205,NA1_3900218375
1206,NA1_3900189130
1207,NA1_3900174393
1208,NA1_3898755479
1209,NA1_3898755145
1210,NA1_3900015308
1211,NA1_3899572412
1212,NA1_3899508254
1213,NA1_3898871771
1214,NA1_3899021031
1215,NA1_3899040112
1216,
1217,NA1_3993117291
1218,NA1_3993055383
1219,NA1_3993028632
1220,NA1_3987606688
1221,NA1_3987611612
1222,NA1_3987556638
1223,NA1_3987539940
1224,NA1_3985018893
1225,NA1_3982698365
1226,NA1_3982683534
1227,NA1_3982579609
1228,NA1_3980742723
1229,NA1_3980729330
1230,NA1_3980706291
1231,NA1_3980629699
1232,NA1_3980664738
1233,NA1_3980611844
1234,NA1_3980567038
1235,NA1_3979788767
1236,NA1_3979772142
1237,NA1_3979717621
1238,NA1_3979732955
1239,NA1_3979687707
1240,NA1_3979646525
1241,NA1_3979634342
1242,NA1_3979640670
1243,NA1_3979558148
1244,NA1_3979354469
1245,NA1_3978378457
1246,NA1_3977672693
1247,NA1_3977660895
1248,NA1_3977382971
1249,NA1_3977364517
1250,NA1_3976593728
1251,NA1_3976519100
1252,NA1_3976493270
1253,NA1_3976408704
1254,NA1_3975353259
