,0
731,NA1_4089301463
732,NA1_4089226557
733,NA1_4089233959
734,NA1_4089207845
735,NA1_4089164674
736,NA1_4089109495
737,NA1_4089095569
738,NA1_4089007069
739,NA1_4089012576
740,NA1_4088953254
741,NA1_4088487662
742,NA1_4088463563
743,NA1_4088322854
744,NA1_4088164599
745,NA1_4085599920
746,NA1_4085564874
747,NA1_4085532080
748,NA1_4085458419
749,NA1_4085454824
750,NA1_4085419208
751,NA1_4085367761
752,NA1_4085414121
753,NA1_4084811223
754,NA1_4084429062
755,NA1_4084317895
756,NA1_4084295563
757,NA1_4084283920
758,NA1_4083727484
759,NA1_4083683477
760,NA1_4083676809
761,NA1_4083436819
762,NA1_4082782745
763,NA1_4082747777
764,NA1_4082712624
765,NA1_4082659508
766,NA1_4082627019
767,NA1_4082605229
768,NA1_4082061279
769,NA1_4081568953
770,NA1_4081576586
771,NA1_4081500220
772,NA1_4078760511
773,NA1_4078693766
774,NA1_4078589717
775,NA1_4078561580
776,NA1_4078489136
777,NA1_4077998793
778,NA1_4077982457
779,NA1_4077681915
780,NA1_4076859714
781,NA1_4075821805
782,NA1_4075815853
783,NA1_4075773885
784,NA1_4075676258
785,NA1_4075608255
786,NA1_4075211910
787,NA1_4075162307
788,NA1_4074848409
789,NA1_4072255057
790,NA1_4072249473
791,NA1_4072244605
792,NA1_4072231228
793,NA1_4072176210
794,NA1_4072130369
795,NA1_4072067944
796,NA1_4072082668
797,NA1_4072080047
798,NA1_4072003048
799,NA1_4072001885
800,NA1_4104586928
801,NA1_4099581592
802,NA1_4099507209
803,NA1_4099455504
804,NA1_4099129170
805,NA1_4098840436
806,NA1_4098785383
807,NA1_4095654308
808,NA1_4093620118
809,NA1_4093408872
810,NA1_4093357560
811,NA1_4093394842
812,NA1_4092804603
813,NA1_4092468187
814,NA1_4092045697
815,NA1_4085977696
816,NA1_4084063965
817,NA1_4084041934
818,NA1_4083988792
819,NA1_4084025354
820,NA1_4083981325
821,NA1_4083949760
822,NA1_4083843341
823,NA1_4083786452
824,NA1_4083226939
825,NA1_4083254952
826,NA1_4082946906
827,NA1_4082839642
828,NA1_4082795359
829,NA1_4082254332
830,NA1_4078005890
831,NA1_4077867747
832,NA1_4077854270
833,NA1_4077832564
834,NA1_4077756354
835,NA1_4077782932
836,NA1_4077163107
837,NA1_4077140132
838,NA1_4074936807
839,NA1_4074028424
840,NA1_4074035862
841,NA1_4074013762
842,NA1_4072239855
843,NA1_4072117491
844,NA1_4072024526
845,NA1_4071526881
846,NA1_4071542986
847,NA1_4071500581
848,NA1_4071012883
849,NA1_4070238340
850,NA1_4069220620
851,NA1_4068130276
852,NA1_4068113070
853,NA1_4064659633
854,NA1_4064646128
855,NA1_4064375671
856,NA1_4064345038
857,NA1_4063208753
858,NA1_4061491952
859,NA1_4058230423
860,NA1_4058165596
861,NA1_4057515272
862,NA1_4057493954
863,NA1_4057466971
864,NA1_4057327707
865,NA1_4057331799
866,NA1_4057228409
867,NA1_4056931050
868,NA1_4055537419
869,NA1_4055544915
870,NA1_4055395743
871,NA1_4055422885
872,NA1_4055327641
873,NA1_4055353658
874,NA1_4055275484
875,NA1_4055250102
876,NA1_4053697393
877,NA1_4051177029
878,NA1_4050352328
879,NA1_4050291425
880,NA1_4050289485
881,NA1_4049756988
882,NA1_4048120864
883,NA1_4048074112
884,NA1_4048010449
885,NA1_4047976342
886,NA1_4047936090
887,NA1_4047961883
888,NA1_4047889528
889,NA1_4047877617
890,NA1_4047844277
891,NA1_4047819432
892,NA1_4047683129
893,NA1_4046518462
894,NA1_4046546414
895,NA1_4046524871
896,NA1_4046513147
897,NA1_4046449245
898,NA1_4046485846
899,NA1_4045262524
900,NA1_4105225530
901,NA1_4105039723
902,NA1_4103086390
903,NA1_4103075308
904,NA1_4103071730
905,NA1_4102977464
906,NA1_4103011155
907,NA1_4102914649
908,NA1_4101258352
909,NA1_4101223095
910,NA1_4101168292
911,NA1_4101182426
912,NA1_4101126842
913,NA1_4101083691
914,NA1_4101111871
915,NA1_4101080283
916,NA1_4101053555
917,NA1_4101050890
918,NA1_4100947317
919,NA1_4100924421
920,NA1_4100879549
921,NA1_4100887197
922,NA1_4100643803
923,NA1_4100637737
924,NA1_4100584883
925,NA1_4100526463
926,NA1_4100510134
927,NA1_4100444480
928,NA1_4099518925
929,NA1_4099505399
930,NA1_4099491585
931,NA1_4099257011
932,NA1_4099261594
933,NA1_4099174765
934,NA1_4099098347
935,NA1_4098164644
936,NA1_4098109337
937,NA1_4097528261
938,NA1_4097536173
939,NA1_4097513324
940,NA1_4097202288
941,NA1_4097140633
942,NA1_4097132463
943,NA1_4095655418
944,NA1_4095622846
945,NA1_4095596248
946,NA1_4093366130
947,NA1_4093285976
948,NA1_4093196142
949,NA1_4093233712
950,NA1_4093210493
951,NA1_4093116005
952,NA1_4093122421
953,NA1_4093058583
954,NA1_4093033314
955,NA1_4093002249
956,NA1_4092907699
957,NA1_4092134189
958,NA1_4092160914
959,NA1_4092069694
960,NA1_4092086928
961,NA1_4092074265
962,NA1_4092051061
963,NA1_4092016508
964,NA1_4091064455
965,NA1_4091110139
966,NA1_4091035593
967,NA1_4090991309
968,NA1_4090955452
969,NA1_4090869265
970,NA1_4090880449
971,NA1_4090201827
972,NA1_4090201613
973,NA1_4090191101
974,NA1_4089595698
975,NA1_4088791443
976,NA1_4088723173
977,NA1_4087950312
978,NA1_4086041908
979,NA1_4085968796
980,NA1_4085883549
981,NA1_4085850357
982,NA1_4085535548
983,NA1_4085468731
984,NA1_4085150116
985,NA1_4085145355
986,NA1_4085120059
987,NA1_4085052885
988,NA1_4085006342
989,NA1_4084942943
990,NA1_4084926814
991,NA1_4084874241
992,NA1_4084041729
993,NA1_4083899477
994,NA1_4083241818
995,NA1_4083220587
996,NA1_4083059448
997,NA1_4082993369
998,NA1_4082967093
999,NA1_4082932982
1000,NA1_4099451526
1001,NA1_4098408644
1002,NA1_4094846701
1003,NA1_4094805519
1004,NA1_4094379385
1005,NA1_4094344220
1006,NA1_4094324703
1007,NA1_4094238132
1008,NA1_4094252563
1009,NA1_4094195741
1010,NA1_4094150944
1011,NA1_4094084994
1012,NA1_4094038880
1013,NA1_4092686086
1014,NA1_4091906261
